Date,Predicted Price,Action,Top 5 Reasons (from SHAP)
2026-04-26,1.438001,BUY,"1. MA100 contributes positively to BUY (+0.0140), supporting upward momentum. | 2. Close contributes positively to BUY (+0.0136), supporting upward momentum. | 3. Bollinger_Lower contributes positively to BUY (+0.0101), supporting upward momentum. | 4. High contributes positively to BUY (+0.0093), supporting upward momentum. | 5. ATR14 is a mild headwind (-0.0326), but not enough to overturn the bullish tilt."
2026-04-27,1.441912,BUY,"1. MA100 contributes positively to BUY (+0.0140), supporting upward momentum. | 2. Close contributes positively to BUY (+0.0136), supporting upward momentum. | 3. Bollinger_Lower contributes positively to BUY (+0.0101), supporting upward momentum. | 4. High contributes positively to BUY (+0.0093), supporting upward momentum. | 5. ATR14 is a mild headwind (-0.0326), but not enough to overturn the bullish tilt."
2026-04-28,1.445834,BUY,"1. MA100 contributes positively to BUY (+0.0140), supporting upward momentum. | 2. Close contributes positively to BUY (+0.0136), supporting upward momentum. | 3. Bollinger_Lower contributes positively to BUY (+0.0101), supporting upward momentum. | 4. High contributes positively to BUY (+0.0093), supporting upward momentum. | 5. ATR14 is a mild headwind (-0.0326), but not enough to overturn the bullish tilt."
2026-04-29,1.449767,BUY,"1. MA100 contributes positively to BUY (+0.0140), supporting upward momentum. | 2. Close contributes positively to BUY (+0.0136), supporting upward momentum. | 3. Bollinger_Lower contributes positively to BUY (+0.0101), supporting upward momentum. | 4. High contributes positively to BUY (+0.0093), supporting upward momentum. | 5. ATR14 is a mild headwind (-0.0326), but not enough to overturn the bullish tilt."
2026-04-30,1.453711,BUY,"1. MA100 contributes positively to BUY (+0.0140), supporting upward momentum. | 2. Close contributes positively to BUY (+0.0136), supporting upward momentum. | 3. Bollinger_Lower contributes positively to BUY (+0.0101), supporting upward momentum. | 4. High contributes positively to BUY (+0.0093), supporting upward momentum. | 5. ATR14 is a mild headwind (-0.0326), but not enough to overturn the bullish tilt."
